,999
CaM,0.0006966527521341
Myoc,0.0039206246811732
Myom,0.1355669101331633
SLH_jn,0.1033928512273822
SLH_sl,0.1896096446961685
SLL_jn,0.0134943885283765
SLL_sl,0.0211982314708421
SRB,0.0044256500283216
TnCHc,0.1277698895853621
TnCHm,0.0057379293963987
TnCL,0.0181846256673136
Ca_i,0.0002091492204561
Ca_jn,0.0003241050798016
Ca_sl,0.0002307199733453
NaB_jn,3.592423608080058
NaB_sl,0.7839143354863037
Na_jn,9.047524140092694
Na_sl,9.04770763559756
Ca_sr,0.5048881851261341
Csqn,1.136654592447542
V,-73.19913430987735
d,2.25490152502504e-05
f,0.9983248447096248
fCaB_jn,0.04459267498585
fCaB_sl,0.032372263924229
K_i,120.0
xr,0.0010137035276201
xs,0.0076168984487355
Na_i,9.047867037640946
ikur_r,0.0004043015113441
s,0.9584685020962374
h,0.3071652300997156
j,0.2547594360110068
m,0.0197981097568446
hl,0.0381112520131109
ml,0.0105845838734514
x,0.0014090235630902
y,0.9448603557024424
i,4.84994112145562e-07
o,2.019793779355494e-06
ryr_r,0.8063714452458223
fluo_i,0.0022010451493914
fluo_jn,0.0030420550568256
fluo_sl,0.0023741269189867
Cai_mean,0.0002098850110156
fluo_mean,0.0022068836460814
