,500
CaSR1,0.9854180148293912
CaSR2,0.9511297170485812
CaSR3,0.8743744848458419
CaSR4,0.7407630756223352
Cai1,0.0002527184138883
Cai2,0.000266338186941
Cai3,0.00029718988702
Cai4,0.0003605284630476
Cass,0.00037713132737
d,7.304975924329188e-06
f1,0.9991219148091458
f2,0.9977856639992944
fca,0.8746401309564232
y,0.0290611477932103
pa,3.123384830373962e-05
n,0.0124923307412319
ikur_r,0.0002432959010566
ikur_s,0.9562603847019924
h1,0.931236838565705
h2,0.8655736279995697
m,0.0019803254530584
it_r,0.0007878022688998
it_s,0.9615503556914808
V,-77.60695880264426
Ki,131.8070663327851
ryr_a1,0.3763983039010137
ryr_a2,0.3992307047989245
ryr_a3,0.4341795474395465
ryr_ass,0.4815215524988267
c1,0.9111344905586078
c2,0.9142530243683537
c3,0.8989630075673835
css,0.9996214471531172
o1,1.3576290445237058e-05
o2,1.0010643352712496e-05
o3,9.82697124995158e-06
oss,2.261964197836991e-05
serca_a1,0.0107143584069887
serca_a2,0.0105655889653084
serca_a3,0.0103168577545966
serca_ass,0.0107678493549481
Nai,13.309832041742697
Nass,13.022454012969217
fluo_1,0.00025507384309
fluo_2,0.0002652715560159
fluo_3,0.0002873578061236
fluo_4,0.0003287376273452
fluo_ss,0.0003387631239693
CaSR,0.8372513199725431
Cai,0.0003167087566344
fluo,0.0002995442764999
