,666
CaSR1,1.481726284538968
CaSR2,1.471575233845475
CaSR3,1.4464979344179445
CaSR4,1.387733673370915
Cai1,0.0003398168560061
Cai2,0.0003583085862279
Cai3,0.0003983866690323
Cai4,0.0004764111987468
Cass,0.0004947956028366
d,9.922134115838568e-06
f1,0.9989010911315844
f2,0.9987649301460454
fca,0.8029681978303499
y,0.0373665001141775
pa,3.99194631629641e-05
n,0.0098576694693711
ikur_r,0.0002981775308592
ikur_s,0.9584064249532462
h1,0.9086448605141236
h2,0.8909165036447058
m,0.0026456307327825
it_r,0.0009259470381354
it_s,0.955616977012322
V,-75.82336753043222
Ki,132.6824316318507
ryr_a1,0.3647021400571364
ryr_a2,0.3959880628621106
ryr_a3,0.44748882310767
ryr_ass,0.4936318598544754
c1,0.978770479393515
c2,0.988774003877525
c3,0.970910808091642
css,0.8081497925645456
o1,0.0002959692090341
o2,0.0001956595340137
o3,0.0001381263592604
oss,0.0007096494037551
serca_a1,0.0170206827946253
serca_a2,0.0170582591503132
serca_a3,0.0171676459170283
serca_ass,0.0177097414394975
Nai,12.726155456821369
Nass,12.679839032064196
fluo_1,0.0031442210689359
fluo_2,0.0032600763626566
fluo_3,0.0034980959954188
fluo_4,0.0039161589553038
fluo_ss,0.0040068293788172
CaSR,1.427692335735095
Cai,0.0004217970600784
fluo,0.003616657429602
