name,value
Cm,0.05
Vss,4.99232e-05
dx,1.625
lcell,122.051
cell_pi,3.14159265358979
rjunct,6.5
Aj_nj,2492.32441226137
Vnonjunct1,0.000506253396241
Vnonjunct2,0.001518760188722
Vnonjunct3,0.002531266981203
Vnonjunct4,0.003543773773684
xj_nj,0.8225
xj_nj_Nai,3.26
VSR1,1.13907014154133e-05
VSR2,3.41721042462399e-05
VSR3,5.69535070770665e-05
VSR4,7.97349099078931e-05
Vnonjunct_Nai,0.008100054339849
Vcytosol,0.008149977539849
Cao,1.8
Ko,5.4
Nao,130.0
ECa_app,60.0
gCaL,25.3125
ical_fca_tau,0.002
kCa,0.001
kCan,2.0
ICaPmax,2.0
kCaP,0.0005
F,96487.0
R,8314.0
T,306.15
RTF,26.3800418709256
FRT,0.037907445518581
amplitude,-2500.0
dNaCa,0.0003
fCaNCX,1.0
gam,0.45
kNaCa,0.0084
INaKmax,70.8253
kNaKK,1.0
kNaKNa,11.0
nu1,0.000506253396241
nu2,0.001518760188722
nu3,0.002531266981203
nuss,0.031202
tau_act,0.01875
tau_actss,0.005
tau_adapt,1.0
tau_inact,0.0875
tau_inactss,0.015
SERCAKmf,0.00025
SERCAKmr,1.8
cpumps,0.04
k4,7.5
k1,7500000.0
k3,2.31481481481481
k2,0.46875
gCab,0.0952
gIf,1.0
gK1,3.4425
gKr,0.5
gKs,1.0
gKur,2.4475
PNa,0.0018
gNab,0.060599
gt,8.175
BCa,0.024
CSQN,6.7
DCa,780.0
DCaBm,25.0
DCaSR,44.0
KdBCa,0.00238
KdCSQN,0.8
KdSLhigh,0.013
KdSLlow,1.1
SLhigh,13.0
SLlow,165.0
kSRleak,0.006
BNa,1.1319
DNa,0.12
KdBNa,10.0
STIM_LEVEL,1.0
STIM_DURATION,0.001
STIM_OFFSET,0.01
STIM_PERIOD,1.0
Jrel_multiplier,1.0
J_SERCASR_multiplier,1.0
J_bulkSERCA_multiplier,1.0
fluo_tot,0.01
fluo_k_on,236000.0
fluo_k_off,175.0
G_seal,0.0
gKb,0.01
K_mobility,4.75462
Na_mobility,3.24155
K_ghk_scaler_seal,4e-15
K_ghk_scaler_membrane,4e-15
Na_ghk_scaler_seal,3.33e-15
Na_ghk_scaler_membrane,3.33e-15
Cl_i,48.0
Cl_o,150.0
Cl_mobility,4.93639
Aspartate_i,92.0
Aspartate_o,0.0
Aspartate_mobility,1.42639
Ca_mobility,1.92449
Ca_ghk_scaler_membrane,2e-12
