,666
CaSR1,0.8430629608448139
CaSR2,0.8154188102423289
CaSR3,0.7652224303297304
CaSR4,0.7042437679383485
Cai1,0.000178632132213
Cai2,0.0001821669660313
Cai3,0.0001908403069013
Cai4,0.0002097117741395
Cass,0.0002168775538444
d,7.74516628396574e-06
f1,0.9991114637494252
f2,0.9988664686555424
fca,0.9549526461814654
y,0.0373842523817453
pa,3.106896279477094e-05
n,0.0094305349809664
ikur_r,0.0002517840882367
ikur_s,0.9650184017795022
h1,0.9296211972632508
h2,0.9028128531366828
m,0.0022235396952514
it_r,0.0008128414871229
it_s,0.9607433312085548
V,-77.25374597926121
Ki,133.01474272657848
ryr_a1,0.2864753514081675
ryr_a2,0.3003893323716127
ryr_a3,0.3243330703838867
ryr_ass,0.368235741420671
c1,0.9877114214485004
c2,0.9871012758399274
c3,0.9843489208875534
css,1.0000000784173635
o1,1.7657310541662254e-05
o2,1.2498336326857626e-05
o3,7.544837975775777e-06
oss,4.203637663299417e-06
serca_a1,0.0079364387652397
serca_a2,0.0076611142782728
serca_a3,0.0071357369981169
serca_ass,0.0066657707347377
Nai,11.360552456665348
Nass,10.788214447701874
fluo_1,0.0
fluo_2,0.0
fluo_3,-0.0
fluo_4,-0.0
fluo_ss,-0.0
CaSR,0.7528211199243058
Cai,0.000196830865575
fluo,-3.458213736673074e-24
