,250
v,-87.82878737032401
CaMKt,0.0606864211622873
cass,0.0001184520148488
nai,7.632934519306641
nass,7.633081102810042
ki,144.20106200944136
kss,144.20103222331562
cansr,2.06375022913784
cajsr,1.483021230246935
cai,0.0001146772176242
m,0.0074730738093781
hf,0.692077850842526
hs,0.6919692115701842
j,0.691197264769642
hsp,0.4475588264528644
jp,0.6890624035863336
mL,0.0001945532102714
hL,0.3966750843108758
hLp,0.1890777433735007
a,0.0010128737838574
iF,0.9995401494497508
iS,0.2780495165436087
ap,0.0005160895163736
iFp,0.9995401980158336
iSp,0.3157266725538772
d,2.438756377094212e-09
ff,0.9999999908629208
fs,0.7778410025543733
fcaf,0.9999999904309762
fcas,0.979152199013482
jca,0.9859106148588996
ffp,1.0000000157813391
fcafp,0.999999999820158
nca,0.0098931498303697
IC1,0.9988309224350708
IC2,7.055479359509817e-05
C1,1.8662349400217347e-08
C2,8.976048570169937e-05
O,0.0007361175255957
IO,0.0002728998652272
IObound,1e-09
Obound,1e-09
Cbound,1e-09
D,0.0
xs1,0.4659478782372752
xs2,0.0002110511998797
xk1,0.9968069575730816
Jrelnp,1.9764534436059076e-07
Jrelp,2.4506333444286045e-07
