name,component,units,value
R,membrane,millijoule_per_mole_kelvin,8314.0
T,membrane,kelvin,310.0
F,membrane,coulomb_per_mole,96487.0
Cm,membrane,uF,0.0001
stim_period,membrane,ms,1000.0
stim_duration,membrane,ms,3.0
stim_amplitude,membrane,uA,-0.0012
Vmyo,cell_geometry,um3,25850.0
Vmyo_uL,cell_geometry,uL,2.585e-05
VSR_uL,cell_geometry,uL,2.098e-06
g_Na,sodium_current,mSi,0.0007
Na_o,extracellular_ion_concentrations,mM,140.0
g_t,Ca_independent_transient_outward_K_current,mSi,1.96e-05
a,Ca_independent_transient_outward_K_current,dimensionless,0.883
b,Ca_independent_transient_outward_K_current,dimensionless,0.117
K_o,extracellular_ion_concentrations,mM,5.4
g_ss,steady_state_outward_K_current,mSi,1.2e-05
g_K1,inward_rectifier,mSi,4e-05
g_f,hyperpolarisation_activated_current,mSi,1.45e-06
f_Na,hyperpolarisation_activated_current,dimensionless,0.2
g_B_Na,background_currents,mSi,8.015e-08
g_B_K,background_currents,mSi,1.38e-07
i_NaK_max,sodium_potassium_pump,uA,0.00138
gamma1,sodium_potassium_pump,dimensionless,3.6
KdNaio,sodium_potassium_pump,mM,19.0
KdNais,sodium_potassium_pump,mM,22.0
KdNaes,sodium_potassium_pump,mM,880.0
Delta,sodium_potassium_pump,dimensionless,0.3
alpha,sodium_potassium_pump,mM,1.8
Ca_o,extracellular_ion_concentrations,mM,1.8
g_D,CaRU,um3_per_ms,0.099
J_R,CaRU,um3_per_ms,0.02
J_L,CaRU,um3_per_ms,0.0007
N,CaRU,dimensionless,50000.0
V_L,CaRU_Transitions,mV,-9.0
del_VL,CaRU_Transitions,mV,7.0
phi_L,CaRU_Transitions,dimensionless,11.5
t_L,CaRU_Transitions,ms,1.0
tau_L,CaRU_Transitions,ms,1450.0
t_R,CaRU_Transitions,ms,1.17
tau_R,CaRU_Transitions,ms,2.4
phi_R,CaRU_Transitions,dimensionless,0.05
theta_R,CaRU_Transitions,dimensionless,0.012
K_RyR,CaRU_Transitions,mM,0.065
K_L,CaRU_Transitions,mM,0.0006
a1,CaRU_Transitions,dimensionless,0.0625
b1,CaRU_Transitions,dimensionless,14.0
c,CaRU_Transitions,dimensionless,0.01
d,CaRU_Transitions,dimensionless,100.0
K_mNa,Na_Ca_Exchanger,mM,87.5
K_mCa,Na_Ca_Exchanger,mM,1.38
eta,Na_Ca_Exchanger,dimensionless,0.35
k_sat,Na_Ca_Exchanger,dimensionless,0.1
g_NCX,Na_Ca_Exchanger,mM_per_ms,0.0515
g_SERCA,SERCA,mM_per_ms,0.00047
K_SERCA,SERCA,mM,0.00045
g_pCa,SarcolemMal_Ca_pump,mM_per_ms,5e-06
K_mpCa,SarcolemMal_Ca_pump,mM,0.00035
g_CaB,Background_Ca_current,mM_per_mV_ms,5.10875e-08
g_SRl,SR_Ca_leak_current,per_ms,7.11e-06
k_m_TRPN,troponin_Ca_buffer,per_ms,0.04
k_p_TRPN,troponin_Ca_buffer,per_mM_ms,40.0
B_TRPN,troponin_Ca_buffer,mM,0.07
k_CMDN,calmodulin_Ca_buffer,mM,0.002382
B_CMDN,calmodulin_Ca_buffer,mM,0.05
EGTA_tot,calmodulin_Ca_buffer,mM,0.0
KmEGTA,calmodulin_Ca_buffer,mM,0.00015
tau_s_ss,steady_state_outward_K_current_s_ss_gate,ms,2100.0
f_K,hyperpolarisation_activated_current,dimensionless,0.8
alpha_m,CaRU_Transitions,per_ms,11.5
beta_m,CaRU_Transitions,per_ms,0.04273504273504274
