name,component,units,value
V,membrane,mV,-83.225337726985
Na_i,intracellular_ion_concentrations,mM,10.3166277397214
m,sodium_current_m_gate,dimensionless,0.00278470958836307
h,sodium_current_h_gate,dimensionless,0.76383061791369
j,sodium_current_j_gate,dimensionless,0.763761333391331
K_i,intracellular_ion_concentrations,mM,139.958925172206
r,Ca_independent_transient_outward_K_current_r_gate,dimensionless,0.00172726420925076
s,Ca_independent_transient_outward_K_current_s_gate,dimensionless,0.99596561498169
s_slow,Ca_independent_transient_outward_K_current_s_slow_gate,dimensionless,0.804420922057857
r_ss,steady_state_outward_K_current_r_ss_gate,dimensionless,0.0023101443394053
s_ss,steady_state_outward_K_current_s_ss_gate,dimensionless,0.365380404298388
y,hyperpolarisation_activated_current_y_gate,dimensionless,0.00461797270916061
Ca_i,intracellular_ion_concentrations,mM,0.000105783318959466
Ca_SR,intracellular_ion_concentrations,mM,1.90310840797223
z_1,CaRU_reduced_states,dimensionless,0.990515189367475
z_2,CaRU_reduced_states,dimensionless,0.0084733904751434
z_3,CaRU_reduced_states,dimensionless,0.00100287212767216
TRPN,intracellular_ion_concentrations,mM,0.0632908192546954
