name,component,units,value
V,membrane,mV,-83.61078321846
Na_i,intracellular_ion_concentrations,mM,13.67478259112
m,sodium_current_m_gate,dimensionless,0.002624812216741
h,sodium_current_h_gate,dimensionless,0.7669703970682
j,sodium_current_j_gate,dimensionless,0.597360541088
K_i,intracellular_ion_concentrations,mM,136.9533106774
r,Ca_independent_transient_outward_K_current_r_gate,dimensionless,0.001670041859494
s,Ca_independent_transient_outward_K_current_s_gate,dimensionless,0.9429944323424
s_slow,Ca_independent_transient_outward_K_current_s_slow_gate,dimensionless,0.2913671215528
r_ss,steady_state_outward_K_current_r_ss_gate,dimensionless,0.002238085038757
s_ss,steady_state_outward_K_current_s_ss_gate,dimensionless,0.2550152238371
y,hyperpolarisation_activated_current_y_gate,dimensionless,0.00293473792214
Ca_i,intracellular_ion_concentrations,mM,0.0002468948470847
Ca_SR,intracellular_ion_concentrations,mM,1.746219874706
z_1,CaRU_reduced_states,dimensionless,0.9359079854926
z_2,CaRU_reduced_states,dimensionless,0.008960127265356
z_3,CaRU_reduced_states,dimensionless,0.05460926585051
TRPN,intracellular_ion_concentrations,mM,0.05417802935445
