name,value,units,component
ical_d_inf,0,dimensionless,ical_d
ical_f_inf,0,dimensionless,ical_f
ikr_xr_inf,0,dimensionless,ikr_xr
iks_xs_inf,0,dimensionless,iks_xs
ikur_r_inf,0,dimensionless,ikur_ikur_r
ikur_s_inf,0,dimensionless,ikur_s
ina_h_a,0,mS_per_uF,ina_h
ina_j_a,0,mS_per_uF,ina_j
ina_m_inf,0,dimensionless,ina_m
inal_hl_inf,0,dimensionless,inal_hl
inal_ml_a,0,mS_per_uF,inal_ml
ito_x_inf,0,dimensionless,ito_x
ito_y_inf,0,dimensionless,ito_y
RI,0,dimensionless,ryr
ical_d_tau,0,ms,ical_d
ical_f_tau,0,ms,ical_f
ikr_xr_tau,0,ms,ikr_xr
iks_xs_tau,0,ms,iks_xs
ikur_r_tau,0,ms,ikur_ikur_r
ikur_s_tau,0,ms,ikur_s
ina_h_b,0,mS_per_uF,ina_h
ina_j_b,0,mS_per_uF,ina_j
ina_m_tau,0,ms,ina_m
inal_ml_b,0,mS_per_uF,inal_ml
ito_x_tau,0,ms,ito_x
ito_y_tau,0,ms,ito_y
kCaSR,0,dimensionless,ryr
ina_h_inf,0,dimensionless,ina_h
ina_j_inf,0,dimensionless,ina_j
kiSRCa,0,per_mM_per_ms,ryr
ina_h_tau,0,ms,ina_h
ina_j_tau,0,ms,ina_j
koSRCa,0,per_mM2_per_ms,ryr
J_CaB_jntion,0,mM_per_ms,buffca
J_CaB_sl,0,mM_per_ms,buffca
J_CaB_cytosol,0,mM_per_ms,buffca
ibarca_jn,0,uA_per_cm2,ical
ICaL_Ca_jn,0,A_per_F,ical
ibarca_sl,0,uA_per_cm2,ical
ICaL_Ca_sl,0,A_per_F,ical
ICaL_Ca,0,A_per_F,ical
ibark,0,uA_per_cm2,ical
ICaL_K,0,A_per_F,ical
ibarna_jn,0,uA_per_cm2,ical
ICaL_Na_jn,0,A_per_F,ical
ibarna_sl,0,uA_per_cm2,ical
ICaL_Na_sl,0,A_per_F,ical
IClB,0,A_per_F,iclb
ICaL_Na,0,A_per_F,ical
IClCa_jn,0,A_per_F,iclca
ICaL,0,A_per_F,ical
IClCa_sl,0,A_per_F,iclca
IClCa,0,A_per_F,iclca
kp,0,dimensionless,ikp
rr,0,dimensionless,ikr
EKs,0,mV,iks
IKs_jn,0,A_per_F,iks
IKs_sl,0,A_per_F,iks
IKs,0,A_per_F,iks
Ka_jn,0,dimensionless,inaca
Ka_sl,0,dimensionless,inaca
s1_jn,0,mol4_per_m12,inaca_INaCa_jn
s2_jn,0,mol4_per_m12,inaca_INaCa_jn
s3_jn,0,mol4_per_m12,inaca_INaCa_jn
INaCa_jn,0,A_per_F,inaca
s1_sl,0,mol4_per_m12,inaca_INaCa_sl
s2_sl,0,mol4_per_m12,inaca_INaCa_sl
s3_sl,0,mol4_per_m12,inaca_INaCa_sl
INaCa_sl,0,A_per_F,inaca
fnak,0,dimensionless,inak
INaCa,0,A_per_F,inaca
INaK_jn,0,A_per_F,inak
INaK_sl,0,A_per_F,inak
INaK,0,A_per_F,inak
ipca_IpCa_jn_a,0,dimensionless,ipca_IpCa_jn
IpCa_jn,0,A_per_F,ipca
ipca_IpCa_sl_a,0,dimensionless,ipca_IpCa_sl
IpCa_sl,0,A_per_F,ipca
ICl_tot,0,A_per_F,membrane
IpCa,0,A_per_F,ipca
ECa_jn,0,mV,nernst
ICaB_jn,0,A_per_F,icab
ICa_tot_jn,0,A_per_F,calcium
J_SRCarel,0,mM_per_ms,ryr
ECa_sl,0,mV,nernst
J_SR_leak,0,mM_per_ms,ryr
ICaB_sl,0,A_per_F,icab
J_serca,0,mM_per_ms,ryr
ICaB,0,A_per_F,icab
ICa_tot_sl,0,A_per_F,calcium
ICa_tot,0,A_per_F,membrane
EK,0,mV,nernst
ik1_inf_a,0,mS_per_uF,ik1_ik1_inf
ik1_inf_b,0,mS_per_uF,ik1_ik1_inf
ik1_inf,0,dimensionless,ik1
IK1,0,A_per_F,ik1
IKp_jn,0,A_per_F,ikp
IKp_sl,0,A_per_F,ikp
IKp,0,A_per_F,ikp
IKr,0,A_per_F,ikr
IKur,0,A_per_F,ikur
Ito,0,A_per_F,ito
ENa_jn,0,mV,nernst
INa_jn,0,A_per_F,ina
INaB_jn,0,A_per_F,inab
INaL_jn,0,A_per_F,inal
ENa_sl,0,mV,nernst
INa_sl,0,A_per_F,ina
INa,0,A_per_F,ina
INaB_sl,0,A_per_F,inab
INaB,0,A_per_F,inab
INaL_sl,0,A_per_F,inal
INaL,0,A_per_F,inal
IK_tot,0,A_per_F,potassium
INa_tot_jn,0,A_per_F,sodium
INa_tot_sl,0,A_per_F,sodium
INa_tot,0,A_per_F,membrane
I_tot,0,A_per_F,membrane
pace,0,dimensionless,stimulus
I_stim,0,A_per_F,stimulus
