name,value,units,component
CaM,0.000702128101897,mM,buffca
Myoc,0.003949234283927,mM,buffca
Myom,0.135538532457244,mM,buffca
SLH_jn,0.103674364292989,mM,buffca
SLH_sl,0.190759804527589,mM,buffca
SLL_jn,0.013564068863608,mM,buffca
SLL_sl,0.021406341888181,mM,buffca
SRB,0.004453272428543,mM,buffca
TnCHc,0.127856586024589,mM,buffca
TnCHm,0.005699995052934,mM,buffca
TnCL,0.018314353503422,mM,buffca
Ca_i,0.000210808768153,mM,calcium
Ca_jn,0.000325814677291,mM,calcium
Ca_sl,0.000233018340558,mM,calcium
NaB_jn,3.6139606266007,mM,buffna
NaB_sl,0.788607791910409,mM,buffna
Na_jn,9.15153381546177,mM,sodium
Na_sl,9.15182798281732,mM,sodium
Ca_sr,0.502305826642838,mM,calcium
Csqn,1.13337536953688,mM,calcium
V,-73.4336366728779,mV,membrane
d,2.16850216379767E-05,dimensionless,ical
f,0.998384427312367,dimensionless,ical
fCaB_jn,0.04495721641096,dimensionless,ical
fCaB_sl,0.032851209859701,dimensionless,ical
K_i,120,mM,potassium
xr,0.001312900962271,dimensionless,ikr
xs,0.007494367607221,dimensionless,iks
Na_i,9.15199678386257,mM,sodium
ikur_r,0.000393548562883,dimensionless,ikur
s,0.958234428284286,dimensionless,ikur
h,0.315482710277588,dimensionless,ina
j,0.248034071360796,dimensionless,ina
m,0.018932693381292,dimensionless,ina
hl,0.037982933541374,dimensionless,inal
ml,0.010197421640071,dimensionless,inal
x,0.001379392363599,dimensionless,ito
y,0.945874848392075,dimensionless,ito
i,5.01323282772066E-07,dimensionless,ryr
o,2.01567245823637E-06,dimensionless,ryr
ryr_r,0.800819151705149,dimensionless,ryr
fluo_i,0,mM,calcium
fluo_jn,0,mM,calcium
fluo_sl,0,mM,calcium
Cai_mean,0,mM,calcium
fluo_mean,0,mM,calcium
