name,value
g_K1_scaler,1
g_Kr_scaler,1
g_Ks_scaler,1
g_to_scaler,1
g_CaL_scaler,1
g_CaT_scaler,1
g_Na_scaler,1
g_f_scaler,1
kNaCa_scaler,1
VmaxUp_scaler,1
ks_scaler,1
V_leak_scaler,1
PNaK_scaler,1
g_b_Na_scaler,1
g_b_Ca_scaler,1
g_PCa_scaler,1
g_K1,0.13378578
x_K1_0,0.47799497
x_K1_1,27.242756
x_K1_2,4.9250233
x_K1_3,8.7222376
x_K1_4,56.636197
x_KR_0,0.218025
x_KR_1,0.0057488524
x_KR_2,13.623493
x_KR_3,0.047630571
x_KR_4,-7.0680874
x_KR_5,0.012456641
x_KR_6,-25.994458
x_KR_7,37.342633
x_KR_8,22.091964
x_KR_9,50
x_KR_10,0
x_IKS_0,0.0077
x_IKS_1,0.0011655845
x_IKS_2,66726.839
x_IKS_3,0.28045891
x_IKS_4,-18.866972
x_IKS_5,4.74115E-06
xTO_0,0.11783333
xTO_1,0.055361418
xTO_2,11.684202
xTO_3,3.9891811
xTO_4,-11.047139
xTO_5,0.00034423094
xTO_6,-17.634472
xTO_7,186.76054
xTO_8,8.1809339
xTO_9,0.69675842
xTO_10,11.224458
x_cal_0,0.30802769
x_cal_1,12.966294
x_cal_2,7.079146
x_cal_3,0.044909416
x_cal_4,-6.9098804
x_cal_5,0.00051258983
x_cal_6,-49.505712
x_cal_7,1931.2112
x_cal_8,5.7300275
x_cal_9,1.6582469
x_cal_10,100.46256
x_cat,0.185
g_Na,9.7206134
x_NA_0,108.04585
x_NA_1,13.107016
x_NA_2,0.0023269144
x_NA_3,-7.9177263
x_NA_4,0.0036265989
x_NA_5,-19.839359
x_NA_6,9663.295
x_NA_7,7.3955036
x_NA_8,0.00051225718
x_NA_9,-66.583756
x_NA_10,0.03197758
x_NA_11,0.1673315
x_NA_12,0.95108872
x_F_0,0.0435
x_F_1,5.7897E-07
x_F_2,-14.589712
x_F_3,20086.65
x_F_4,10.202353
x_F_5,23.945291
stim_flag,1
stim_shift,0
voltageclamp,0
g_kur_scaler,1
g_kur,0
stim_period,1000
i_stim_Amplitude,3
Na_fixed,0
K_fixed,0
