name,value
CaSR1,0.6189225
CaSR2,0.6076289
CaSR3,0.5905266
CaSR4,0.5738108
Cai1,0.0001354965
Cai2,0.0001381421
Cai3,0.0001442087
Cai4,0.0001561844
Cass,0.0001619377
d,1.060917e-05
f1,0.9988566
f2,0.9988624
fca,0.9744374
y,0.05620665
pa,4.189417e-05
n,0.004109751
ikur_r,0.0003111703
ikur_s,0.9751094
h1,0.90391
h2,0.9039673
m,0.002775812
it_r,0.0009594258
it_s,0.954338
V,-75.42786
Ki,134.6313
ryr_a1,0.1925362
ryr_a2,0.2010345
ryr_a3,0.2163122
ryr_ass,0.2455297
c1,0.9993722
c2,0.9995086
c3,0.9995604
css,0.9999717
o1,9.478514e-05
o2,7.765503e-05
o3,5.674947e-05
oss,3.975097e-05
serca_a1,0.115964125
serca_a2,0.11280195
serca_a3,0.108160225
serca_ass,0.106261125
Nai,9.28686
Nass,8.691504
fluo_1,0.0
fluo_2,0.0
fluo_3,0.0
fluo_4,0.0
fluo_ss,0.0
CaSR,0.5881948625
Cai,0.0001478528779685
fluo,0.0
