name,value,component,units
V,-74.031982,membrane,millivolt
Na_c,130.022096,cleft_space_ion_concentrations,millimolar
Na_i,8.516766,intracellular_ion_concentrations,millimolar
m,0.003289,sodium_current_m_gate,dimensionless
h1,0.877202,sodium_current_h1_gate,dimensionless
h2,0.873881,sodium_current_h2_gate,dimensionless
Ca_d,7.1E-05,intracellular_ion_concentrations,millimolar
d_L,1.4E-05,L_type_Ca_channel_d_L_gate,dimensionless
f_L1,0.998597,L_type_Ca_channel_f_L1_gate,dimensionless
f_L2,0.998586,L_type_Ca_channel_f_L2_gate,dimensionless
K_c,5.560224,cleft_space_ion_concentrations,millimolar
K_i,129.485991,intracellular_ion_concentrations,millimolar
r,0.001089,Ca_independent_transient_outward_K_current_r_gate,dimensionless
s,0.948597,Ca_independent_transient_outward_K_current_s_gate,dimensionless
a_ur,0.000367,ultra_rapid_K_current_aur_gate,dimensionless
i_ur,0.96729,ultra_rapid_K_current_iur_gate,dimensionless
n,0.004374,delayed_rectifier_K_currents_n_gate,dimensionless
pa,5.3E-05,delayed_rectifier_K_currents_pa_gate,dimensionless
Ca_c,1.815768,cleft_space_ion_concentrations,millimolar
Ca_i,6.5E-05,intracellular_ion_concentrations,millimolar
O_C,0.026766,intracellular_Ca_buffering,dimensionless
O_TC,0.012922,intracellular_Ca_buffering,dimensionless
O_TMgC,0.190369,intracellular_Ca_buffering,dimensionless
O_TMgMg,0.714463,intracellular_Ca_buffering,dimensionless
O,1.38222,intracellular_Ca_buffering,dimensionless
Ca_rel,0.632613,Ca_handling_by_the_SR,millimolar
Ca_up,0.649195,Ca_handling_by_the_SR,millimolar
O_Calse,0.431547,Ca_handling_by_the_SR,dimensionless
F1,0.470055,Ca_handling_by_the_SR,dimensionless
F2,0.002814,Ca_handling_by_the_SR,dimensionless
fluo_d,0,,
fluo_i,0,,
Cai_mean,0,,
fluo_mean,0,,
