index,name,component,units
0,Q_tot,membrane,millivolt
1,past,membrane,second
2,m_factor,sodium_current_m_gate,dimensionless
3,h_infinity,sodium_current_h1_gate,dimensionless
4,d_L_infinity,L_type_Ca_channel_d_L_gate,dimensionless
5,f_L_infinity,L_type_Ca_channel_f_L1_gate,dimensionless
6,r_infinity,Ca_independent_transient_outward_K_current_r_gate,dimensionless
7,s_infinity,Ca_independent_transient_outward_K_current_s_gate,dimensionless
8,a_ur_infinity,ultra_rapid_K_current_aur_gate,dimensionless
9,i_ur_infinity,ultra_rapid_K_current_iur_gate,dimensionless
10,n_infinity,delayed_rectifier_K_currents_n_gate,dimensionless
11,p_a_infinity,delayed_rectifier_K_currents_pa_gate,dimensionless
12,J_O_TMgMg,intracellular_Ca_buffering,per_second
13,r_Ca_d_term,Ca_handling_by_the_SR,dimensionless
14,m_infinity,sodium_current_m_gate,dimensionless
15,h_factor,sodium_current_h1_gate,dimensionless
16,d_L_factor,L_type_Ca_channel_d_L_gate,dimensionless
17,f_L_factor,L_type_Ca_channel_f_L1_gate,millivolt
18,tau_r,Ca_independent_transient_outward_K_current_r_gate,second
19,s_factor,Ca_independent_transient_outward_K_current_s_gate,dimensionless
20,tau_a_ur,ultra_rapid_K_current_aur_gate,second
21,tau_i_ur,ultra_rapid_K_current_iur_gate,second
22,n_factor,delayed_rectifier_K_currents_n_gate,dimensionless
23,pa_factor,delayed_rectifier_K_currents_pa_gate,dimensionless
24,i_Stim,membrane,pA_per_nF
25,r_Ca_i_term,Ca_handling_by_the_SR,dimensionless
26,tau_m,sodium_current_m_gate,second
27,tau_h1,sodium_current_h1_gate,second
28,tau_h2,sodium_current_h2_gate,second
29,tau_d_L,L_type_Ca_channel_d_L_gate,second
30,tau_f_L1,L_type_Ca_channel_f_L1_gate,second
31,tau_f_L2,L_type_Ca_channel_f_L2_gate,second
32,tau_s,Ca_independent_transient_outward_K_current_s_gate,second
33,tau_n,delayed_rectifier_K_currents_n_gate,second
34,tau_pa,delayed_rectifier_K_currents_pa_gate,second
35,E_Na,sodium_current,millivolt
36,r_Ca_d_factor,Ca_handling_by_the_SR,dimensionless
37,i_Na,sodium_current,picoA
38,r_Ca_i_factor,Ca_handling_by_the_SR,dimensionless
39,f_Ca,L_type_Ca_channel,dimensionless
40,r_act,Ca_handling_by_the_SR,per_second
41,i_Ca_L,L_type_Ca_channel,picoA
42,r_inact,Ca_handling_by_the_SR,per_second
43,E_K,Ca_independent_transient_outward_K_current,millivolt
44,i_t,Ca_independent_transient_outward_K_current,picoA
45,i_Kur,ultra_rapid_K_current,picoA
46,i_K1,inward_rectifier,picoA
47,i_Ks,delayed_rectifier_K_currents,picoA
48,pip,delayed_rectifier_K_currents_pi_gate,dimensionless
49,i_Kr,delayed_rectifier_K_currents,picoA
50,i_B_Na,background_currents,picoA
51,E_Ca,background_currents,millivolt
52,i_B_Ca,background_currents,picoA
53,pow_Na_i_15,sodium_potassium_pump,millimolar15
54,i_NaK,sodium_potassium_pump,picoA
55,i_CaP,sarcolemmal_calcium_pump_current,picoA
56,i_NaCa,Na_Ca_ion_exchanger_current,picoA
57,i_KACh,ACh_dependent_K_current,picoA
58,i_di,intracellular_ion_concentrations,picoA
59,I,membrane,pA_per_nF
60,J_O_C,intracellular_Ca_buffering,per_second
61,J_O_TC,intracellular_Ca_buffering,per_second
62,J_O_TMgC,intracellular_Ca_buffering,per_second
63,J_O,intracellular_Ca_buffering,per_second
64,i_rel_f2,Ca_handling_by_the_SR,dimensionless
65,i_rel_factor,Ca_handling_by_the_SR,dimensionless
66,i_rel,Ca_handling_by_the_SR,picoA
67,i_up,Ca_handling_by_the_SR,picoA
68,i_tr,Ca_handling_by_the_SR,picoA
69,J_O_Calse,Ca_handling_by_the_SR,per_second
