name,value,units,component
Istim,0,microA_per_microF,membrane
mss,0,dimensionless,INa
hss,0,dimensionless,INa
hLss,0,dimensionless,INaL
hLssp,0,dimensionless,INaL
ass,0,dimensionless,Ito
iss,0,dimensionless,Ito
dss,0,dimensionless,ICaL
fss,0,dimensionless,ICaL
km2n,0,per_millisecond,ICaL
xs1ss,0,dimensionless,IKs
xk1ss,0,dimensionless,IK1
vfrt,0,dimensionless,membrane
tm,0,millisecond,INa
thf,0,millisecond,INa
ths,0,millisecond,INa
jss,0,dimensionless,INa
ta,0,millisecond,Ito
delta_epi,0,dimensionless,Ito
fcass,0,dimensionless,ICaL
anca,0,dimensionless,ICaL
td,0,millisecond,ICaL
tff,0,millisecond,ICaL
tfs,0,millisecond,ICaL
xs2ss,0,dimensionless,IKs
txs1,0,millisecond,IKs
txk1,0,millisecond,IK1
tj,0,millisecond,INa
hssp,0,dimensionless,INa
mLss,0,dimensionless,INaL
tiF_b,0,millisecond,Ito
assp,0,dimensionless,Ito
tfcaf,0,millisecond,ICaL
tfcas,0,millisecond,ICaL
tffp,0,millisecond,ICaL
txs2,0,millisecond,IKs
CaMKb,0,millimolar,CaMK
thsp,0,millisecond,INa
tjp,0,millisecond,INa
tmL,0,millisecond,INaL
tiS_b,0,millisecond,Ito
tfcafp,0,millisecond,ICaL
CaMKa,0,millimolar,CaMK
tiF,0,millisecond,Ito
Bcai,0,dimensionless,intracellular_ions
tiS,0,millisecond,Ito
Bcass,0,dimensionless,intracellular_ions
dti_develop,0,dimensionless,Ito
Bcajsr,0,dimensionless,intracellular_ions
dti_recover,0,dimensionless,Ito
ENa,0,millivolt,reversal_potentials
tiFp,0,millisecond,Ito
tiSp,0,millisecond,Ito
EK,0,millivolt,reversal_potentials
EKs,0,millivolt,reversal_potentials
h,0,dimensionless,INa
hp,0,dimensionless,INa
fINap,0,dimensionless,INa
INa,0,microA_per_microF,INa
fINaLp,0,dimensionless,INaL
INaL,0,microA_per_microF,INaL
AiF,0,dimensionless,Ito
AiS,0,dimensionless,Ito
i,0,dimensionless,Ito
ip,0,dimensionless,Ito
fItop,0,dimensionless,Ito
Ito,0,microA_per_microF,Ito
f,0,dimensionless,ICaL
Afcaf,0,dimensionless,ICaL
Afcas,0,dimensionless,ICaL
