name,value,units,component
celltype,0.0,dimensionless,environment
nao,140.0,millimolar,extracellular
cao,1.8,millimolar,extracellular
ko,5.4,millimolar,extracellular
R,8314.0,joule_per_kilomole_kelvin,physical_constants
T,310.0,kelvin,physical_constants
F,96485.0,coulomb_per_mole,physical_constants
zna,1.0,dimensionless,physical_constants
zca,2.0,dimensionless,physical_constants
zk,1.0,dimensionless,physical_constants
L,0.01,centimeter,cell_geometry
rad,0.0011,centimeter,cell_geometry
i_Stim_Start,0.0,millisecond,membrane
i_Stim_End,1e+17,millisecond,membrane
i_Stim_Amplitude,-80.0,microA_per_microF,membrane
i_Stim_Period,1000.0,millisecond,membrane
i_Stim_PulseDuration,0.5,millisecond,membrane
KmCaMK,0.15,millimolar,CaMK
aCaMK,0.05,per_millimolar_per_millisecond,CaMK
bCaMK,0.00068,per_millisecond,CaMK
CaMKo,0.05,dimensionless,CaMK
KmCaM,0.0015,millimolar,CaMK
cmdnmax_b,0.05,millimolar,intracellular_ions
kmcmdn,0.00238,millimolar,intracellular_ions
trpnmax,0.07,millimolar,intracellular_ions
kmtrpn,0.0005,millimolar,intracellular_ions
BSRmax,0.047,millimolar,intracellular_ions
KmBSR,0.00087,millimolar,intracellular_ions
BSLmax,1.124,millimolar,intracellular_ions
KmBSL,0.0087,millimolar,intracellular_ions
csqnmax,10.0,millimolar,intracellular_ions
kmcsqn,0.8,millimolar,intracellular_ions
cm,1.0,microF_per_centimeter_squared,intracellular_ions
PKNa,0.01833,dimensionless,reversal_potentials
mssV1,39.57,millivolt,INa
mssV2,9.871,millivolt,INa
mtV1,11.64,millivolt,INa
mtV2,34.77,millivolt,INa
mtD1,6.765,dimensionless,INa
mtD2,8.552,dimensionless,INa
mtV3,77.42,millivolt,INa
mtV4,5.955,millivolt,INa
hssV1,82.9,millivolt,INa
hssV2,6.086,millivolt,INa
Ahf,0.99,dimensionless,INa
GNa,75.0,milliS_per_microF,INa
shift_INa_inact,0.0,millivolt,INa
thL,200.0,millisecond,INaL
GNaL_b,0.019957499999999975,milliS_per_microF,INaL
Gto_b,0.02,milliS_per_microF,Ito
Kmn,0.002,millimolar,ICaL
k2n,1000.0,per_millisecond,ICaL
PCa_b,0.0001007,dimensionless,ICaL
