name,value,units,component
v,-88.00190465,millivolt,membrane
CaMKt,0.0125840447,millimolar,CaMK
cass,8.49e-05,millimolar,intracellular_ions
nai,7.268004498,millimolar,intracellular_ions
nass,7.268089977,millimolar,intracellular_ions
ki,144.6555918,millimolar,intracellular_ions
kss,144.6555651,millimolar,intracellular_ions
cansr,1.619574538,millimolar,intracellular_ions
cajsr,1.571234014,millimolar,intracellular_ions
cai,8.6e-05,millimolar,intracellular_ions
m,0.007344121102,dimensionless,INa
hf,0.6981071913,dimensionless,INa
hs,0.6980895801,dimensionless,INa
j,0.6979908432,dimensionless,INa
hsp,0.4549485525,dimensionless,INa
jp,0.6979245865,dimensionless,INa
mL,0.0001882617273,dimensionless,INaL
hL,0.5008548855,dimensionless,INaL
hLp,0.2693065357,dimensionless,INaL
a,0.001001097687,dimensionless,Ito
iF,0.9995541745,dimensionless,Ito
iS,0.5865061736,dimensionless,Ito
ap,0.0005100862934,dimensionless,Ito
iFp,0.9995541823,dimensionless,Ito
iSp,0.6393399482,dimensionless,Ito
d,2.34e-09,dimensionless,ICaL
ff,0.9999999909,dimensionless,ICaL
fs,0.9102412777,dimensionless,ICaL
fcaf,0.9999999909,dimensionless,ICaL
fcas,0.9998046777,dimensionless,ICaL
jca,0.9999738312,dimensionless,ICaL
ffp,0.9999999909,dimensionless,ICaL
fcafp,0.9999999909,dimensionless,ICaL
nca,0.002749414044,dimensionless,ICaL
IC1,0.999637,dimensionless,IKr
IC2,6.83208e-05,dimensionless,IKr
C1,1.80145e-08,dimensionless,IKr
C2,8.26619e-05,dimensionless,IKr
O,0.00015551,dimensionless,IKr
IO,5.67623e-05,dimensionless,IKr
IObound,0.0,dimensionless,IKr
Obound,0.0,dimensionless,IKr
Cbound,0.0,dimensionless,IKr
D,0.0,dimensionless,IKr
xs1,0.2707758025,dimensionless,IKs
xs2,0.0001928503426,dimensionless,IKs
xk1,0.9967597594,dimensionless,IK1
Jrelnp,2.5e-07,dimensionless,ryr
Jrelp,3.12e-07,dimensionless,ryr
